Using ADS Bumblebee for 2mass,,,
,,,
3/6/2018,,,
,,,
pubdate:[2017-6 TO 2017-12] citations(bibcode:2006AJ....131.1163S) property:refereed database:astronomy ,,,
,,,
,,,
315 results (interestingly, within 1 of the first six months' total!),,
@ARTICLE{2017PASA...34...41N, *no* not really,,
@ARTICLE{2017MNRAS.470L..97G, YES,,
@ARTICLE{2017MNRAS.470.3765M, YES and spitzer,,
@ARTICLE{2017MNRAS.470.3250J, YES and spitzer,,
@ARTICLE{2017MNRAS.470.2982L, YES,,
@ARTICLE{2017MNRAS.470.2702K, YES and gaia,,
@ARTICLE{2017MNRAS.470.1703D, YES,,
@ARTICLE{2017MNRAS.470.1593R, YES,,
@ARTICLE{2017MNRAS.470.1559S, YES and wise,,
@ARTICLE{2017MNRAS.470.1526A, *no* not really,,
@ARTICLE{2017MNRAS.470.1360B, YES,,
@ARTICLE{2017MNRAS.470.1177B, YES and wise,,
@ARTICLE{2017MNRAS.470.1107L, YES and wise,,
@ARTICLE{2017MNRAS.470..915K, YES,,
@ARTICLE{2017MNRAS.470..481T, YES,,
@ARTICLE{2017MNRAS.470..466S, YES,,
@ARTICLE{2017MNRAS.470..202B, YES,,
@ARTICLE{2017ApJS..232...16Y, YES,,
@ARTICLE{2017ApJS..232....4T, YES and gaia,,
@ARTICLE{2017ApJ...847...60K, YES and wise,,
@ARTICLE{2017ApJ...846...93S, YES,,
@ARTICLE{2017ApJ...846...14B, YES,,
@ARTICLE{2017Ap&SS.362..175X, YES,,
@ARTICLE{2017AJ....154..126D, YES and gaia,,
@ARTICLE{2017AJ....154..125M, YES and gaia,,
@ARTICLE{2017AJ....154..124C, YES,,
@ARTICLE{2017AJ....154..118S, YES,,
@ARTICLE{2017AJ....154..108J, YES,,
@ARTICLE{2017AJ....154..102U, YES and spitzer,,
@ARTICLE{2017AJ....154...94M, YES,,
@ARTICLE{2017AJ....154...87K, YES and spitzer,,
@ARTICLE{2017AcA....67..225T, YES,,
@ARTICLE{2017A&A...605A.115S, YES,,
@ARTICLE{2017A&A...605A.109V, YES,,
@ARTICLE{2017A&A...605A..99T, YES and herschel spitzer,,
@ARTICLE{2017A&A...605A..98C, YES,,
@ARTICLE{2017A&A...605A..74K, YES,,
@ARTICLE{2017A&A...605A..46M, YES,,
@ARTICLE{2017Sci...357..680V, YES and wise and ptf,,
@ARTICLE{2017PASJ...69...66K, YES,,
@ARTICLE{2017MNRAS.469.4949M, YES and akari,,
