,article,2mass,skrutskie,bibcode,doi
119,@ARTICLE{2017ApJ...839..101Z,yes,yes,2017ApJ...839..101Z,10.3847/1538-4357/aa6842
120,@ARTICLE{2017ApJ...839...96M,yes,yes,2017ApJ...839...96M,10.3847/1538-4357/aa6a17
121,@ARTICLE{2017ApJ...839...92R,yes,yes,2017ApJ...839...92R,10.3847/1538-4357/aa6aa4
122,@ARTICLE{2017ApJ...839...88K,no,yes,2017ApJ...839...88K,10.3847/1538-4357/aa6978
123,@ARTICLE{2017ApJ...839...71F,yes,yes,2017ApJ...839...71F,10.3847/1538-4357/aa697a
124,@ARTICLE{2017ApJ...839...48V,yes,yes,2017ApJ...839...48V,10.3847/1538-4357/aa67dd
125,@ARTICLE{2017ApJ...839...23B,yes,yes,2017ApJ...839...23B,10.3847/1538-4357/aa67e4
126,@ARTICLE{2017ApJ...839....7M,yes,yes,2017ApJ...839....7M,10.3847/1538-4357/aa6843
127,@ARTICLE{2017ApJ...838..150K,yes,yes,2017ApJ...838..150K,10.3847/1538-4357/aa62a0
128,@ARTICLE{2017ApJ...838..110G,yes,yes,2017ApJ...838..110G,10.3847/1538-4357/aa667f
129,@ARTICLE{2017ApJ...838..105L,no,yes,2017ApJ...838..105L,10.3847/1538-4357/aa657a
130,@ARTICLE{2017ApJ...838..102D,yes,yes,2017ApJ...838..102D,10.3847/1538-4357/aa662d
131,@ARTICLE{2017AJ....153..196S,yes,yes,2017AJ....153..196S,10.3847/1538-3881/aa6624
132,@ARTICLE{2017AJ....153..188F,yes,yes,2017AJ....153..188F,10.3847/1538-3881/aa647b
133,@ARTICLE{2017AJ....153..178S,yes,yes,2017AJ....153..178S,10.3847/1538-3881/aa5ffb
134,@ARTICLE{2017AJ....153..177P,no,yes,2017AJ....153..177P,10.3847/1538-3881/aa62ab
135,@ARTICLE{2017AJ....153..166Z,yes,yes,2017AJ....153..166Z,10.3847/1538-3881/aa6196
136,@ARTICLE{2017AJ....153..165T,yes,yes,2017AJ....153..165T,10.3847/1538-3881/aa6343
137,@ARTICLE{2017AJ....153..156C,yes,yes,2017AJ....153..156C,10.3847/1538-3881/aa5c3a
138,@ARTICLE{2017AJ....153..152S,yes,yes,2017AJ....153..152S,10.3847/1538-3881/aa5eb9
139,@ARTICLE{2017A&A...600L...4A,yes,yes,2017A&A...600L...4A,
140,@ARTICLE{2017A&A...600A.118C,yes,yes,2017A&A...600A.118C,
141,@ARTICLE{2017A&A...600A..99M,yes,yes,2017A&A...600A..99M,
142,@ARTICLE{2017A&A...600A..93F,yes,yes,2017A&A...600A..93F,
143,@ARTICLE{2017A&A...600A..55I,yes,yes,2017A&A...600A..55I,
144,@ARTICLE{2017A&A...600A..50G,yes,yes,2017A&A...600A..50G,
145,@ARTICLE{2017A&A...600A...8D,yes,yes,2017A&A...600A...8D,
146,@ARTICLE{2017MNRAS.465.4753R,yes,yes,2017MNRAS.465.4753R,10.1093/mnras/stw2906
147,@ARTICLE{2017MNRAS.465.4723K,yes,yes,2017MNRAS.465.4723K,10.1093/mnras/stw3106
148,@ARTICLE{2017MNRAS.465.4602L,yes,yes,2017MNRAS.465.4602L,10.1093/mnras/stw3057
149,@ARTICLE{2017MNRAS.465.4482Y,yes,yes,2017MNRAS.465.4482Y,10.1093/mnras/stw2931
150,@ARTICLE{2017MNRAS.465.4468R,yes,yes,2017MNRAS.465.4468R,10.1093/mnras/stw2890
151,@ARTICLE{2017MNRAS.465.4035D,yes,yes,2017MNRAS.465.4035D,10.1093/mnras/stw2980
152,@ARTICLE{2017MNRAS.465.3203M,yes,yes,2017MNRAS.465.3203M,10.1093/mnras/stw2835
153,@ARTICLE{2017MNRAS.465.3125E,yes,yes,2017MNRAS.465.3125E,10.1093/mnras/stw2875
154,@ARTICLE{2017MNRAS.465.3039C,yes,yes,2017MNRAS.465.3039C,10.1093/mnras/stw2802
155,@ARTICLE{2017MNRAS.465.3011C,yes,yes,2017MNRAS.465.3011C,10.1093/mnras/stw2801
156,@ARTICLE{2017MNRAS.465.2916S,yes,yes,2017MNRAS.465.2916S,10.1093/mnras/stw2939
157,@ARTICLE{2017MNRAS.465.2849T,yes,yes,2017MNRAS.465.2849T,10.1093/mnras/stw2854
158,@ARTICLE{2017MNRAS.465.2820D,yes,yes,2017MNRAS.465.2820D,10.1093/mnras/stw2806
159,@ARTICLE{2017ApJ...838L...3L,yes,yes,2017ApJ...838L...3L,10.3847/2041-8213/aa5ff6
160,@ARTICLE{2017ApJ...838...61P,yes,yes,2017ApJ...838...61P,10.3847/1538-4357/aa5b99
161,@ARTICLE{2017ApJ...838...49X,yes,yes,2017ApJ...838...49X,10.3847/1538-4357/aa6443
